tweet_id,topic_category,tweet_timestamp,sentiment_score,positive_score,negative_score,neutral_score,impressions,likes,engagement_count
T36841,Cloud,07-01-2025 19:01,0.912376086,0.381988998,0.934702541,0.125657227,6126,24,
T27424,Cloud,08-01-2025 19:02,0.904795167,0.583384394,0.159876995,0.299313398,8630,4873,541
T31365,Cloud,04-01-2025 11:51,0.976751897,0.057764811,0.660596526,0.643261617,15985,940,973
T33361,Sports,02-01-2025 11:00,0.165869516,0.812630732,0.954412139,0.789351236,,4815,241
T35147,Sports,21-01-2025 17:06,-0.038402341,0.845799773,0.91528097,0.685045982,1760,4327,678
T35107,AI,09-01-2025 15:50,-0.440088528,0.038703165,0.120721452,0.969653285,3340,4690,657
T39614,Sports,,0.519327259,0.140576522,0.470191614,,123,3396,959
T25529,AI,12-01-2025 17:23,0.204135828,0.231063306,0.346975728,0.35930797,17237,,78
T9125,Cloud,04-01-2025 06:11,0.733573789,0.765106483,0.761823891,0.027961238,11856,3466,146
T30613,Finance,23-01-2025 09:04,0.357681081,0.400286448,0.432258961,0.933616025,3929,2886,961
,Finance,01-01-2025 20:13,-0.99548204,0.101011215,0.590199806,0.505509394,3933,2240,785
T4106,Finance,01-01-2025 23:36,-0.35507254,0.78987777,0.34710544,0.361751462,9422,660,690
T15676,Finance,21-01-2025 06:55,0.198180523,0.789369911,0.397394802,0.954437523,16070,3933,885
T23144,Cloud,01-01-2025 21:24,-0.885504267,0.219945628,0.332870123,0.187233901,18845,1992,587
T18261,Sports,16-01-2025 13:09,-0.148659513,0.662053019,0.227079705,,19131,1396,877
T20095,Finance,08-01-2025 12:19,-0.009259798,0.694199362,0.855100181,0.926448977,10359,2653,933
T37460,Cloud,09-01-2025 19:00,0.195360824,0.576168599,0.320793418,0.75767775,12523,3880,
T10765,Cloud,19-01-2025 03:02,0.322538097,0.432226565,0.163433833,0.119459779,,4032,11
T20442,,03-01-2025 23:09,-0.594617447,0.654676905,0.4784732,0.742853125,6557,3616,
T19771,,19-01-2025 12:12,0.052831023,0.839345882,0.888977853,0.640997776,5819,1806,307
